ID,Sex,Treatment,DIO2,DIO3,GnRH,GnIH,FSH,Testes Mass (g),Largest Follicle size (mm),Ovary Mass (mg),Incorrect Largest Follicle size (mm)
1,M,T,0.813,3.315,0.356,0.557937551,0.919,0.03,,,
1,F,T,1.286,1.376,0.276,0.855702071,0.906,,0.1,10,0.1
2,M,T,1.7034,0.534,0.049,0.362303532,,0.04,,,
2,F,T,38.566,270.949,130.343,6728.947956,0.006,,0.1,10,0.1
3,M,T,NA,35633.699,24.256,602.6766371,0.189,0.01,,,
3,F,T,NA,2.44,4.275,80.22151076,0.339,,0.1,10,0.1
4,M,T,0.7822,0.558,0.055,0.126525661,0.016,0.05,,,
4,F,T,1.39,0.147,0.035,0.315699372,,,0.1,10,0.1
5,M,T,1.4916,0.044,0.015,0.037649887,0.314,0.01,,,
5,F,T,14.44,687.194,1037.475,114.4727486,0.408,,0.1,10,0.1
6,M,T,3.0168,5.19,0.457,0.757819415,,0.06,,,
6,F,T,21.336,351.601,216.329,396.7484423,0.224,,0.1,30,0.1
7,M,T,0.09472,1.152,0.038,0.079308693,1.044,0.03,,,
7,F,T,1.24,0.082,0.086,0.451200149,,,0.1,10,0.1
8,M,T,NA,2469.124,65.303,453.2204091,,0.05,,,
8,F,T,0.805,0.206,0.024,0.775501451,0.317,,0.1,10,0.1
9,M,C,0.78,1.136,0.885,0.436302454,2.216,0.03,,,
9,F,C,1.122,0.437,0.183,0.437852032,0.626,,1.5,30,0.15
10,M,C,0.8187,0.156,0.078,0.294884468,0.194,0.07,,,
10,F,C,68.311,6151.235,1105.855,1148.82718,,,7,160,7
11,M,C,0.661,0.113,0.92,0.245652299,1.067,0.05,,,
11,F,C,0.719,0.04,0.603,0.31320714,0.891,,8,340,0.8
12,M,C,1.0597,0.179,0.669,0.545467651,1.242,0.07,,,
12,F,C,1.591,0.28,0.262,0.635693627,0.503,,4,80,4
13,M,C,2.0687,2.244,0.62,0.207415764,1.673,0.01,,,
13,F,C,1.831,0.257,0.478,0.499717473,,,6,480,6
14,M,C,NA,222.76,246.191,599.9236643,,0.01,,,
14,F,C,0.877,0.051,0.026,0.392982213,2.057,,2,30,0.2
15,M,C,1.0807,0.555,0.155,0.466157699,1.048,0.03,,,
15,F,C,6.797,83.431,42.571,215.537948,1.287,,2,130,0.2
